== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_fc0910_base  2018_baseline  2026_fc0910_nopool  2018_nopool  2026_fc0910_seed1  2026_fc0910_seed2  2026_fc0910_seed3  2026_fc0910_seed4  2026_fc0910_seed5  2026_fc0910_seed6  2026_fc0910_seed7  2026_fc0910_seed8  2026_fc0910_seed9  2026_fc0910_seed10  2026_fc0910_deep20  2026_fc0910_fleet40  2026_fc0910_fleet20  2026_fc0910_stock7  2026_fc0910_stock7t  2026_fc0910_rail04  2026_fc0910_package  2026_fc0910_liq60  2026_fc0910_floors_m10  2026_fc0910_floors_p10  2026_fc0910_inv050  2026_fc0910_inv150  2026_fc0910_lr0  2026_fc0910_lr1
CHE_peak_%week                        0.014          0.008               0.558        0.003              0.004              0.019              0.008              0.007              0.010              0.026              0.005              0.007              0.004               0.031               0.003                0.014                0.009               0.004                0.014               0.014                  0.0              0.014                   0.010                   0.014               0.885               0.004            0.014            0.014
CHE_peak_week                         9.000         17.000              19.000       16.000              8.000             19.000              8.000             18.000             17.000             19.000              9.000              8.000              8.000              16.000              10.000                9.000               15.000               8.000                9.000               9.000                 27.0              9.000                  15.000                   9.000              12.000               8.000            9.000            9.000
CHE_loss_weeks                        3.000          0.000               5.000        0.000              0.000              2.000              0.000              0.000              1.000              4.000              0.000              0.000              0.000               4.000               0.000                3.000                0.000               0.000                3.000               3.000                  0.0              3.000                   1.000                   3.000              24.000               0.000            3.000            3.000
BEL_cum_mUSD                         40.000         23.000            5350.000     1405.000             24.000             39.000             43.000             42.000             27.000             31.000             40.000             34.000             35.000              29.000              28.000               37.000               13.000              31.000               42.000              40.000                  0.0             38.000                  29.000                  38.000            1482.000              31.000           40.000           40.000
BEL_%quarter                          0.029          0.017               3.930        1.032              0.017              0.029              0.032              0.031              0.020              0.023              0.029              0.025              0.026               0.021               0.020                0.027                0.009               0.023                0.031               0.030                  0.0              0.028                   0.021                   0.028               1.089               0.023            0.029            0.029
BEL_peak_%week                        0.057          0.050              15.117        6.697              0.054              0.058              0.063              0.058              0.053              0.052              0.058              0.088              0.059               0.054               0.052                0.057                0.027               0.057                0.057               0.057                  0.0              0.047                   0.053                   0.047               1.719               0.057            0.057            0.057
BEL_peak_week                         9.000         16.000              20.000       24.000              9.000              9.000              9.000              9.000              9.000              9.000             15.000              8.000              9.000               9.000               9.000                9.000                9.000               9.000                9.000               9.000                 26.0              8.000                   9.000                   8.000              13.000               9.000            9.000            9.000
BEL_loss_weeks                       11.000          9.000              17.000       12.000              7.000             11.000             11.000             15.000              7.000             10.000             10.000              7.000             10.000               8.000               8.000               10.000                5.000               9.000               12.000              11.000                  0.0             12.000                   8.000                  12.000              25.000               9.000           11.000           11.000

== weekly value-added loss of DEU (mUSD/week) ==
           2026_fc0910_base  2018_baseline  2026_fc0910_nopool  2018_nopool  2026_fc0910_seed1  2026_fc0910_seed2  2026_fc0910_seed3  2026_fc0910_seed4  2026_fc0910_seed5  2026_fc0910_seed6  2026_fc0910_seed7  2026_fc0910_seed8  2026_fc0910_seed9  2026_fc0910_seed10  2026_fc0910_deep20  2026_fc0910_fleet40  2026_fc0910_fleet20  2026_fc0910_stock7  2026_fc0910_stock7t  2026_fc0910_rail04  2026_fc0910_package  2026_fc0910_liq60  2026_fc0910_floors_m10  2026_fc0910_floors_p10  2026_fc0910_inv050  2026_fc0910_inv150  2026_fc0910_lr0  2026_fc0910_lr1
time_step                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0                       0.0            0.0                 0.0          0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                 0.0                 0.0                  0.0                  0.0                 0.0                  0.0                 0.0                  0.0                0.0                     0.0                     0.0                 0.0                 0.0              0.0              0.0
1                       0.0            0.0                 0.0          0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                 0.0                 0.0                  0.0                  0.0                 0.0                  0.0                 0.0                  0.0                0.0                     0.0                     0.0                 0.0                 0.0              0.0              0.0
2                       0.0            0.0                 0.0          0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                 0.0                 0.0                  0.0                  0.0                 0.0                  0.0                 0.0                  0.0                0.0                     0.0                     0.0                 0.0                 0.0              0.0              0.0
3                       0.0            0.0                 0.0          0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                 0.0                 0.0                  0.0                  0.0                 0.0                  0.0                 0.0                  0.0                0.0                     0.0                     0.0                 0.0                 0.0              0.0              0.0
4                       0.0            0.0                 0.0          0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                 0.0                 0.0                  0.0                  0.0                 0.0                  0.0                 0.0                  0.0                0.0                     0.0                     0.0                 0.0                 0.0              0.0              0.0
5                       0.0            0.0                 0.0          0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                 0.0                 0.0                  0.0                  0.0                 0.0                  0.0                 0.0                  0.0              431.8                     0.0                   431.8                 0.0                 0.0              0.0              0.0
6                       0.0            0.0                 0.0          0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                0.0                 0.0                 0.0                  0.0                  0.0                 0.0                  0.0                 0.0                  0.0               87.9                     0.0                    87.9                 0.0                 0.0              0.0              0.0
7                     460.7            0.0               375.2          0.0              590.9              565.8              518.6              621.4              799.1              553.8              462.7              587.2              468.1               693.2               431.8                460.7                  0.0                38.6                 61.6               460.7                  0.0              688.3                   431.8                   688.3               737.5               152.9            460.7            460.7
8                     730.8            0.0               694.2          0.0              811.4              822.3              555.3              822.8             1166.6              838.3              693.4              951.3              515.5               953.2               696.9                730.8                  0.0               346.0                414.4               730.9                  0.0             1183.1                   696.9                  1183.1              1574.2               418.5            730.8            730.8
9                    1201.8            0.0              1292.5          0.0              780.1             1170.2              490.7             1319.9             1481.6             1276.9             1065.8             1033.2              460.6              1451.6              1175.8               1201.8                460.7               517.1                610.2              1206.0                  0.0             1415.8                  1204.7                  1415.8              2355.7               525.1           1201.8           1201.8
10                   1399.3            0.0              1648.4          0.0              777.5             1374.1              482.8             1443.6             1561.3             1468.1             1225.5              988.7              464.2              1676.1              1385.6               1399.3                 94.8               535.4               1128.0              1401.4                  0.0             1614.6                  1388.2                  1614.6              3977.0               838.2           1399.3           1399.3
11                   1096.9            0.0              1532.8          0.0              589.9             1287.0              557.6             1413.3             1195.8             1252.5             1001.9              654.8              394.4              1199.5              1077.2               1096.9                114.9               542.5                915.7              1099.2                  0.0             1293.5                  1082.7                  1293.5              5625.7               700.1           1096.9           1096.9
12                    380.3            0.0               761.6          0.0              891.7              716.7              454.5              439.9              379.2              690.6              873.2              608.9              340.2               704.2               372.0                380.3                 28.9                23.1                 51.8               380.5                  0.0             1468.3                   373.1                  1468.3              5609.0                27.5            380.3            380.3
13                    228.2            0.0               493.4          0.0              276.9              420.4              128.6              324.6              332.2              378.1              375.3              433.2              159.9               866.8               213.0                228.2                  0.3               102.2                129.2               228.3                  0.0             1328.0                   213.4                  1328.0              4610.5               125.9            228.2            228.2
14                    554.5            0.0               940.9          0.0              771.7              718.5              506.8              521.8              946.2              733.2              704.0              903.3              484.5               961.4               529.8                554.5                456.5               400.8                432.5               555.3                  0.0             1238.7                   555.0                  1238.7              3066.7               398.5            554.5            554.5
15                   1228.6          431.8              2180.6        361.8             1014.1             1313.3              692.2             1381.7             1571.3             1506.3             1271.1             1068.0              733.4              1530.4              1204.4               1228.6                393.9               967.1               1061.5              1236.5                  0.0             1798.0                  1211.1                  1798.0              2752.9               996.0           1228.6           1228.6
16                   1771.8          725.8              3232.6        690.4             1421.6             1912.6             1145.6             2000.8             2105.8             2416.2             1911.5             1256.0             1019.3              2050.8              1228.2               1232.4                124.8              1345.2               1634.2              1776.8                  0.0             2762.7                  1229.1                  2762.7              3232.8              1255.2           1771.8           1771.8
17                   2844.5          731.0              4755.0        869.3             2474.6             2941.4             1783.2             2541.2             2506.6             3439.2             2505.6             1666.1             1543.6              2403.0              1317.0               1305.8                 18.1              1452.0               2145.1              2849.5                  0.0             3730.7                  1309.1                  3730.7              4779.9              1348.5           2844.5           2844.5
