date,kaub_cm,source
2018-09-15,73,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-16,78,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-17,75,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-18,76,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-19,66,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-20,63,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-21,64,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-22,61,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-23,65,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-24,77,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-25,81,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-26,82,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-27,84,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-28,77,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-29,67,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-30,64,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-01,56,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-02,56,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-03,59,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-04,72,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-05,77,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-06,74,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-07,69,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-08,68,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-09,63,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-10,62,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-11,57,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-12,53,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-10-13,53,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
