,time_step,id,flow_total,flow_total_tons,flow_domestic_B2C_manufacturing,flow_domestic_B2C,flow_manufacturing,flow_domestic_B2B_manufacturing,flow_domestic_B2B,flow_domestic_B2C_agriculture,flow_agriculture,flow_import_B2C_imports,flow_import_B2C,flow_imports,flow_import_imports,flow_import,flow_domestic_B2B_agriculture,flow_domestic_B2B_mining,flow_mining,flow_export_manufacturing,flow_export,flow_export_mining,flow_export_agriculture
1246,0,1712,0.8112299455832478,1360.2779990250992,,0.12334622690710609,0.004177601021534679,0.002687188007836016,0.15433042528305,0.12334622690710609,0.6309911018446467,0.1737013471849281,0.1737013471849281,0.17605123517391308,0.002349887988984968,0.002349887988984968,0.15163322973206073,1.0007543153213977e-05,1.0007543153213977e-05,0.0014904130136986625,0.3575020582191786,,0.3560116452054799
1247,0,516,0.07438539293752906,114.91428750434156,,0.046096107582748146,,,0.0010837247213878632,0.046096107582748146,0.047179832304136006,0.027205560633393057,0.027205560633393057,0.027205560633393057,,,0.0010837247213878632,,,,,,
1248,0,1547,0.061339319711385926,96.48895512241853,,0.03730342044282377,,,4.128992603114049e-05,0.03730342044282377,0.03734471036885491,0.02399460934253101,0.02399460934253101,0.02399460934253101,,,4.128992603114049e-05,,,,,,
1249,0,564,0.053359079393761215,89.58983757962092,,0.048937274244316674,,,0.0012057872687744255,0.048937274244316674,0.0501430615130911,0.0032160178806701144,0.0032160178806701144,0.0032160178806701144,,,0.0012057872687744255,,,,,,
1250,0,1163,0.056135966710421176,226.45932520899288,,0.01685816733508933,,,0.00012995407772485026,0.01685816733508933,0.016988121412814184,0.037552297009935745,0.037552297009935745,0.037552297009935745,,,0.00012995407772485026,,0.0015955482876712473,,0.0015955482876712473,0.0015955482876712473,
1251,0,1542,0.024293966492449522,44.65561814064984,,0.02401986425486205,,,0.0002741022375874711,0.02401986425486205,0.02427188087997346,,,,,,0.0002520166251114127,2.2085612476058432e-05,2.2085612476058432e-05,,,,
1252,0,517,0.04519344237879743,72.70184296728122,0.004000477140896948,0.023316881824760334,0.008925425232612479,0.0020054268588388163,0.004617790956511123,0.019316404683863385,0.021923937553806547,0.014339248364649258,0.014339248364649258,0.014339248364649258,,,0.002607532869943169,4.8312277291377815e-06,4.8312277291377815e-06,0.0029195212328767153,0.0029195212328767153,,
1253,0,1060,0.0817385163338461,127.37551771383359,0.004000477140896948,0.05410648234047375,0.008925425232612479,0.0020054268588388163,0.00416084170444591,0.0501060051995768,0.05225658881745476,0.020551671056049728,0.020551671056049728,0.020551671056049728,,,0.002150583617877956,4.8312277291377815e-06,4.8312277291377815e-06,0.0029195212328767153,0.0029195212328767153,,
1254,0,1061,0.03043858448232262,43.340926950313026,,0.026535686362811933,,,0.0004622005790927509,0.026535686362811933,0.02699788694190468,0.0034406975404179404,0.0034406975404179404,0.0034406975404179404,,,0.0004622005790927509,,,,,,
1255,0,518,0.8190304969717532,1376.2839768671713,0.004000477140896948,0.13311684367554277,0.013103026254147158,0.004692614866674832,0.15570867770245053,0.12911636653464584,0.636129235805019,0.16743350815271954,0.16743350815271954,0.1697833961417045,0.002349887988984968,0.002349887988984968,0.15100122406489336,1.4838770882351759e-05,1.4838770882351759e-05,0.004409934246575377,0.3604215794520553,,0.3560116452054799
